Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
4/23/2025,4,463550,2282,4106,2512,757503777,0.49%,2085,3547,2163,649512330,311517,0.45%
4/24/2025,4,534292,4278,8944,5111,1424982583,0.80%,3681,6966,4041,1129466502,306837,0.69%
4/25/2025,4,661018,11329,28429,13840,3847300514,1.71%,10060,23221,11222,3138627846,311991,1.52%
4/26/2025,4,578751,2024,3661,2226,650327601,0.35%,2234,4078,2353,663533517,297016,0.39%
4/27/2025,4,530893,1707,3074,1863,571647093,0.32%,1585,2759,1644,513395050,323909,0.30%
4/28/2025,4,471089,1875,3218,2027,595400527,0.40%,1729,2852,1786,524037520,303087,0.37%
4/29/2025,4,461302,1742,3104,1893,566698749,0.38%,1614,2739,1669,497038318,307954,0.35%
4/30/2025,4,421235,2061,3513,2278,636727713,0.49%,1833,2933,1925,531245689,289823,0.44%
5/1/2025,5,517018,4746,10052,5324,1444674040,0.92%,4369,8703,4606,1244243744,284789,0.85%
5/2/2025,5,572163,2662,4275,2905,813008898,0.47%,2518,3887,2622,729889816,289869,0.44%
5/3/2025,5,661099,2686,4398,2982,837938377,0.41%,2483,3852,2600,729514491,293804,0.38%
5/4/2025,5,1015125,8527,19379,10335,2984990473,0.84%,7047,14853,7884,2293839379,325506,0.69%
5/5/2025,5,1457727,59971,161681,78771,21634237465,4.11%,53614,128768,62850,17113608375,319200,3.68%
5/6/2025,5,651290,4504,8821,5126,1456114089,0.69%,6223,12389,6656,1843650123,296264,0.96%
5/7/2025,5,572405,3110,5378,3450,995623215,0.54%,2993,4987,3156,907243062,303122,0.52%
5/8/2025,5,569047,3019,5309,3338,1038078641,0.53%,2853,4821,3008,930820961,326260,0.50%
5/9/2025,5,553504,2426,4142,2687,803965633,0.44%,2270,3654,2385,705287860,310700,0.41%
5/10/2025,5,714168,3588,7135,4052,1251932691,0.50%,3171,5813,3360,1017631769,320918,0.44%
